user_id,session_id,conversion
0,0,1
0,1,1
0,2,0
0,3,0
0,4,1
11,0,1
11,1,0
11,2,0
11,3,1
11,4,1
11,5,0
11,6,1
11,7,1
22,0,0
22,1,1
22,2,1
22,3,1
22,4,1
22,5,1
22,6,0
22,7,1
31,0,1
31,1,0
31,2,0
31,3,0
31,4,1
31,5,1
31,6,1
32,0,0
37,0,0
37,1,1
37,2,0
37,3,1
37,4,0
37,5,1
37,6,0
37,7,1
40,0,1
40,1,0
40,2,1
40,3,1
40,4,1
40,5,1
40,6,0
40,7,1
41,0,1
41,1,1
41,2,1
41,3,1
41,4,1
41,5,0
41,6,0
41,7,0
42,0,1
42,1,1
42,2,1
42,3,1
42,4,0
42,5,1
42,6,1
42,7,0
57,0,0
57,1,0
57,2,1
57,3,0
67,0,1
67,1,1
67,2,1
67,3,0
67,4,1
67,5,0
67,6,1
70,0,0
70,1,1
70,2,0
70,3,1
70,4,1
70,5,1
71,0,1
71,1,0
71,2,0
71,3,0
79,0,0
79,1,0
79,2,1
79,3,0
79,4,0
79,5,1
79,6,0
84,0,1
84,1,1
84,2,0
85,0,1
85,1,1
85,2,1
85,3,0
85,4,1
85,5,1
85,6,0
85,7,0
85,8,1
85,9,0
86,0,1
86,1,1
86,2,1
86,3,0
86,4,1
86,5,0
86,6,1
86,7,0
98,0,1
98,1,1
98,2,1
98,3,1
98,4,1
98,5,0
99,0,1
99,1,1
99,2,1
99,3,1
99,4,0
99,5,1
99,6,1
99,7,1
101,0,0
101,1,1
101,2,1
101,3,0
101,4,0
101,5,1
101,6,0
101,7,1
104,0,1
104,1,1
104,2,0
104,3,1
104,4,1
104,5,0
104,6,1
104,7,1
104,8,0
107,0,0
107,1,1
107,2,1
107,3,1
107,4,1
107,5,0
107,6,1
109,0,1
109,1,1
109,2,1
109,3,0
109,4,1
109,5,1
109,6,1
109,7,0
112,0,1
112,1,0
112,2,1
112,3,0
112,4,1
112,5,0
112,6,1
112,7,1
112,8,1
114,0,1
114,1,0
114,2,0
